timestamp,city,state,lat,lon,aqi,pm25,pm10,co,no2,so2,o3,temperature,humidity,wind_speed
2026-07-20 12:57:54,Kanpur,Uttar Pradesh,26.4499,80.3319,150,150,86,6.3,9.9,0.4,5.4,30.7,64,2.7
2026-07-20 12:57:54,Guwahati,Assam,26.1445,91.7362,64,42,11,1.9,2.3,2.1,64.3,24.91,95,0.95
2026-07-20 12:57:54,Itanagar,Arunachal Pradesh,27.0844,93.6053,62,46,34,2.8,4.2,2.1,62.3,25.11,98,0.98
2026-07-20 12:57:54,Dispur,Assam,26.1433,91.7898,64,42,11,1.9,2.3,2.1,64.3,25.9,96,0.81
2026-07-20 12:57:54,Raipur,Chhattisgarh,21.2514,81.6296,113,113,90,3,3.4,0.5,16.8,30.19,68,3.48
2026-07-20 12:57:54,Panaji,Goa,15.4909,73.8278,65,65,60,6.4,9.2,3.5,4,27.35,84,6.67
2026-07-20 12:57:54,Gandhinagar,Gujarat,23.2156,72.6369,65,65,60,6.4,9.2,3.5,4,33.3,49,4.77
2026-07-20 12:57:54,Shimla,Himachal Pradesh,31.1048,77.1734,124,124,76,6.1,6.5,3.8,3.8,19.75,90,0.9
2026-07-20 12:57:54,Thiruvananthapuram,Kerala,8.5241,76.9366,40,40,,,,,,26.52,77,4.83
2026-07-20 12:57:54,Imphal,Manipur,24.817,93.9368,34,34,6,4.6,1.9,3.6,21.2,20.92,97,0.52
2026-07-20 12:57:54,Shillong,Meghalaya,25.5788,91.8933,64,42,11,1.9,2.3,2.1,64.3,18.99,98,1.63
2026-07-20 12:57:54,Aizawl,Mizoram,23.7271,92.7176,17,13,17,0.6,0.5,5.8,2.3,18.69,99,0.94
2026-07-20 12:57:54,Kohima,Nagaland,25.6751,94.1086,34,34,6,4.6,1.9,3.6,21.2,18.38,98,0.91
2026-07-20 12:57:54,Gangtok,Sikkim,27.3389,88.6065,69,69,48,0.7,2.5,0.4,4.3,21.92,94,0.63
2026-07-20 12:57:54,Agartala,Tripura,23.8315,91.2868,114,114,68,3.5,6.3,2.9,5.8,25.26,93,2.97
2026-07-20 12:57:54,Dehradun,Uttarakhand,30.3165,78.0322,122,122,78,4.6,13.9,3.2,2.4,24.17,97,0.69
2026-07-20 12:57:54,Port Blair,Andaman and Nicobar Islands,11.6234,92.7265,34,34,,,2.9,1.1,,28.27,79,6.35
2026-07-20 12:57:54,Daman,Dadra and Nagar Haveli and Daman and Diu,20.3974,72.8328,65,65,60,6.4,9.2,3.5,4,27.58,85,8.08
2026-07-20 12:57:54,Srinagar,Jammu and Kashmir,34.0837,74.7973,107,107,74,3.7,2.3,3.6,57.1,25.59,68,1.5
2026-07-20 12:57:54,Leh,Ladakh,34.1526,77.5771,58,30,27,1,2.8,3.1,58.4,25.58,21,2.47
2026-07-20 12:57:54,Kavaratti,Lakshadweep,10.5669,72.642,65,65,60,6.4,9.2,3.5,4,28.3,77,6.62
2026-07-20 12:57:54,Puducherry,Puducherry,11.9416,79.8083,44,44,30,3.4,4.6,3.9,17.7,31.85,74,7.48
2026-07-20 14:41:03,Delhi,Delhi,28.6139,77.209,64,13,64,26.5,16.6,8.8,2.1,29.1,67,1.59
2026-07-20 14:41:03,Mumbai,Maharashtra,19.076,72.8777,72,72,68,5.7,8.7,2.1,4.3,27.95,81,9.24
2026-07-20 14:41:03,Bangalore,Karnataka,12.9716,77.5946,48,37,48,4.8,6.9,2.8,4.3,24.72,72,0.45
2026-07-20 14:41:03,Kolkata,West Bengal,22.5726,88.3639,172,172,,,,,,27.83,84,3.23
2026-07-20 14:41:03,Chennai,Tamil Nadu,13.0827,80.2707,46,46,,,,,,30.33,74,2.24
2026-07-20 14:41:03,Hyderabad,Telangana,17.385,78.4867,93,93,,,,,,26.02,74,5.44
2026-07-20 14:41:03,Pune,Maharashtra,18.5204,73.8567,72,72,68,5.7,8.7,2.1,4.3,24.63,78,4.23
2026-07-20 14:41:03,Lucknow,Uttar Pradesh,26.8467,80.9462,128,128,91,10.8,3,3.4,28.4,27.41,82,1.42
2026-07-20 14:41:03,Patna,Bihar,25.5941,85.1376,21,107,,1,0.5,0.6,20.9,28.77,80,5.2
2026-07-20 14:41:03,Ahmedabad,Gujarat,23.0225,72.5714,72,72,68,5.7,8.7,2.1,4.3,30.72,62,4.11
2026-07-20 14:41:03,Jaipur,Rajasthan,26.9124,75.7873,72,72,68,5.7,8.7,2.1,4.3,26.85,76,4.17
2026-07-20 14:41:03,Chandigarh,Chandigarh,30.7333,76.7794,95,95,72,5.2,6.2,3.6,2.7,26.92,79,5.56
2026-07-20 14:41:03,Bhopal,Madhya Pradesh,23.2599,77.4126,48,37,48,4.8,6.9,2.8,4.3,27.35,74,2.5
2026-07-20 14:41:03,Kanpur,Uttar Pradesh,26.4499,80.3319,150,150,86,6.3,9.9,0.4,5.4,28.75,76,0.67
2026-07-20 14:41:03,Guwahati,Assam,26.1445,91.7362,62,25,9,1.9,2.8,2.1,62.3,24.48,95,1
2026-07-20 14:41:03,Itanagar,Arunachal Pradesh,27.0844,93.6053,65,13,8,2.8,4.6,2.1,64.9,24.9,98,0.81
2026-07-20 14:41:03,Dispur,Assam,26.1433,91.7898,62,25,9,1.9,2.8,2.1,62.3,25.42,96,0.84
2026-07-20 14:41:03,Raipur,Chhattisgarh,21.2514,81.6296,113,113,90,3,3.4,0.5,16.8,28.06,78,3.77
2026-07-20 14:41:03,Panaji,Goa,15.4909,73.8278,72,72,68,5.7,8.7,2.1,4.3,27.02,84,4.84
2026-07-20 14:41:03,Gandhinagar,Gujarat,23.2156,72.6369,72,72,68,5.7,8.7,2.1,4.3,30.59,61,4.73
2026-07-20 14:41:03,Shimla,Himachal Pradesh,31.1048,77.1734,95,95,72,5.2,6.2,3.6,2.7,18.5,93,1.08
2026-07-20 14:41:03,Thiruvananthapuram,Kerala,8.5241,76.9366,56,56,,,,,,25.74,81,4.19
2026-07-20 14:41:03,Imphal,Manipur,24.817,93.9368,46,46,6,4.6,3.2,3.1,15.5,20.59,97,0.53
2026-07-20 14:41:03,Shillong,Meghalaya,25.5788,91.8933,62,25,9,1.9,2.8,2.1,62.3,18.75,99,1.51
